Date,Portfolio_Value
2024-08-22,1188.2919855653145
2024-08-23,1201.1795993872595
2024-08-26,1189.5181791611737
2024-08-27,1193.071716432657
2024-08-28,1179.5334160441405
2024-08-29,1177.80674152865
2024-08-30,1191.845522836798
2024-09-03,1155.6600005520866
2024-09-04,1152.656961606672
2024-09-05,1153.733102983218
2024-09-06,1122.827715771667
2024-09-09,1137.2669431865706
2024-09-10,1147.7772726402673
2024-09-11,1172.7017440918353
2024-09-12,1184.2130353847945
2024-09-13,1189.5181791611737
2024-09-16,1184.263052791232
2024-09-17,1184.888653940771
2024-09-18,1179.7586478007374
2024-09-19,1209.587970349556
2024-09-20,1207.2856353771506
2024-09-23,1210.4858288234009
2024-09-24,1216.3246706006805
2024-09-25,1217.4523636599354
2024-09-26,1226.5991817915096
2024-09-27,1219.782929315729
2024-09-30,1223.0909056700236
2024-10-01,1206.050159409851
2024-10-02,1207.7542800641563
2024-10-03,1206.8521256167523
2024-10-04,1221.2113405241184
2024-10-07,1208.1301777505746
2024-10-08,1226.1731899848403
2024-10-09,1235.8211794603678
2024-10-10,1234.4178536690106
2024-10-11,1236.3474362213535
2024-10-14,1246.7221356526852
2024-10-15,1230.0574405065581
2024-10-16,1230.2077995811255
2024-10-17,1231.0597831944647
2024-10-18,1239.129079100849
2024-10-21,1241.5098155907074
2024-10-22,1242.8629705479996
2024-10-23,1223.8174621982007
2024-10-24,1233.7412378334577
2024-10-25,1241.2591915618239
2024-10-28,1241.4596447566425
2024-10-29,1253.3881057677124
2024-10-30,1243.915484069971
2024-10-31,1212.5156763300597
2024-11-01,1221.4869732562206
2024-11-04,1217.9285263006698
2024-11-05,1233.4656051013555
2024-11-06,1266.9703631713958
2024-11-07,1286.9178725409715
2024-11-08,1288.4216934280855
2024-11-11,1287.669898055249
2024-11-12,1285.3391789718282
2024-11-13,1283.6853058654012
2024-11-14,1274.7641030594914
2024-11-15,1244.3916467107053
2024-11-18,1253.037216784513
2024-11-19,1261.6577781551018
2024-11-20,1260.9310681992974
2024-11-21,1265.4669258533497
2024-11-22,1267.496696646195
2024-11-25,1269.5014587358216
2024-11-26,1276.3177112116023
2024-11-27,1266.268738632624
2024-11-29,1277.3952334367925
2024-12-02,1291.3033711204564
2024-12-03,1295.2628778932717
2024-12-04,1311.2761193346919
2024-12-05,1307.6424928418571
2024-12-06,1319.3453385272626
2024-12-09,1309.0709040502468
2024-12-10,1304.6101492196647
2024-12-11,1327.9658231840378
2024-12-12,1319.3953559337003
2024-12-13,1328.8298287725268
2024-12-16,1328.1654138581405
2024-12-17,1322.3162467935786
2024-12-18,1273.973877422845
2024-12-19,1273.3368904841336
2024-12-20,1284.456427703965
2024-12-23,1296.9704367976224
2024-12-24,1314.5571273103
2024-12-26,1313.6640709509616
2024-12-27,1296.201407620277
